"id","Model","est_beta0","est_beta1","est_beta2","Design","Covar","Truth"
1,"X1",0.00200662923911133,0.575960376667119,0.0481517031807052,"SRS","Dependent Covariates (Equal Covariance)",0.5
1,"X2",0.900025813889198,0.906079434686424,0.497059234974328,"SRS","Dependent Covariates (Equal Covariance)",1
1,"X3",2.16787256510474,1.40829499464412,0.16182763417562,"SRS","Dependent Covariates (Equal Covariance)",1.5
1,"X4",3.10960227824935,1.95463259504109,0.498887281934533,"SRS","Dependent Covariates (Equal Covariance)",2
1,"X5",3.97721362211694,2.63674029224505,0.426667748937309,"SRS","Dependent Covariates (Equal Covariance)",2.5
2,"X1",-0.0175174857102722,0.519150707867881,0.0178476850106008,"SRS","Dependent Covariates (Equal Covariance)",0.5
2,"X2",1.01074483849996,1.08203038828239,-0.0801302192574618,"SRS","Dependent Covariates (Equal Covariance)",1
2,"X3",1.87245093773924,1.41666675698762,0.501630691066261,"SRS","Dependent Covariates (Equal Covariance)",1.5
2,"X4",2.99035549300608,1.96124929032447,0.378692043888679,"SRS","Dependent Covariates (Equal Covariance)",2
2,"X5",4.11937641982189,2.35523007617234,0.457571047643655,"SRS","Dependent Covariates (Equal Covariance)",2.5
3,"X1",0.00631770196614054,0.471488681869196,0.235833202359283,"SRS","Dependent Covariates (Equal Covariance)",0.5
3,"X2",0.981346163362296,0.997076444611368,0.0022914978276755,"SRS","Dependent Covariates (Equal Covariance)",1
3,"X3",1.94108683716059,1.4773895615933,0.278898779365116,"SRS","Dependent Covariates (Equal Covariance)",1.5
3,"X4",3.08000323019573,1.96670871446483,0.376955452482166,"SRS","Dependent Covariates (Equal Covariance)",2
3,"X5",3.8563514225055,2.43215896956033,0.733761158709445,"SRS","Dependent Covariates (Equal Covariance)",2.5
4,"X1",0.00626043062974652,0.514542202418471,-0.0980302001235459,"SRS","Dependent Covariates (Equal Covariance)",0.5
4,"X2",1.03941314619407,0.952945449670458,0.105206671978823,"SRS","Dependent Covariates (Equal Covariance)",1
4,"X3",2.02761579474488,1.60709807800239,-0.266337232739851,"SRS","Dependent Covariates (Equal Covariance)",1.5
4,"X4",3.13554149019187,1.85991028387115,0.0941011385642528,"SRS","Dependent Covariates (Equal Covariance)",2
4,"X5",4.13815363214892,2.501721320571,0.189547963999431,"SRS","Dependent Covariates (Equal Covariance)",2.5
5,"X1",0.00998413712709055,0.424197516944673,0.219209448734817,"SRS","Dependent Covariates (Equal Covariance)",0.5
5,"X2",0.838395751198029,1.00553637531152,0.503796927986488,"SRS","Dependent Covariates (Equal Covariance)",1
5,"X3",2.02381013447853,1.61202980812917,-0.0467972593144914,"SRS","Dependent Covariates (Equal Covariance)",1.5
5,"X4",3.08117180142898,2.03392170227265,0.0737863156384159,"SRS","Dependent Covariates (Equal Covariance)",2
5,"X5",4.15623699291656,2.34771123664448,0.506922071241457,"SRS","Dependent Covariates (Equal Covariance)",2.5
6,"X1",-0.0158477513103844,0.486994847100743,0.185394411246601,"SRS","Dependent Covariates (Equal Covariance)",0.5
6,"X2",0.909613016548423,0.936554785850892,0.36163763767774,"SRS","Dependent Covariates (Equal Covariance)",1
6,"X3",1.93271662888264,1.58712495822181,0.340321400311025,"SRS","Dependent Covariates (Equal Covariance)",1.5
6,"X4",3.00005852811658,1.90768251844949,0.534778809885692,"SRS","Dependent Covariates (Equal Covariance)",2
6,"X5",4.07765109574279,2.37854986466682,0.510672676833774,"SRS","Dependent Covariates (Equal Covariance)",2.5
7,"X1",0.0509153283836488,0.47204209848194,-0.0300854624427995,"SRS","Dependent Covariates (Equal Covariance)",0.5
7,"X2",0.994427333090445,1.01611010762312,0.280820563199763,"SRS","Dependent Covariates (Equal Covariance)",1
7,"X3",2.04187389486429,1.45696448059969,-0.0108327055356263,"SRS","Dependent Covariates (Equal Covariance)",1.5
7,"X4",2.94171398197544,2.0382457259411,0.376570492241859,"SRS","Dependent Covariates (Equal Covariance)",2
7,"X5",3.7720409842157,2.55023340561701,0.43162581774456,"SRS","Dependent Covariates (Equal Covariance)",2.5
8,"X1",-0.0725520422143247,0.392212271428589,0.30163762194422,"SRS","Dependent Covariates (Equal Covariance)",0.5
