"id","Model","est_beta0","est_beta1","est_beta2","Design","Covar","Truth"
1,"X1",0.00813652917516853,0.612941712365287,-0.0515860927322544,"SRS","Dependent Covariates (Unequal Covariance)",0.5
1,"X2",0.914548151807824,0.931848023725528,0.477294919600064,"SRS","Dependent Covariates (Unequal Covariance)",1
1,"X3",2.16756843858687,1.41898374181479,0.156364603864722,"SRS","Dependent Covariates (Unequal Covariance)",1.5
1,"X4",3.12028476800451,2.02088641506396,0.326749494645142,"SRS","Dependent Covariates (Unequal Covariance)",2
1,"X5",3.94536853834801,2.51001604682584,0.738666784043132,"SRS","Dependent Covariates (Unequal Covariance)",2.5
2,"X1",-0.0477177812769645,0.524993169827441,0.0976324973686635,"SRS","Dependent Covariates (Unequal Covariance)",0.5
2,"X2",1.01695987244508,1.03504643346858,-0.0701732684546147,"SRS","Dependent Covariates (Unequal Covariance)",1
2,"X3",1.86050630195877,1.46726787883623,0.447479924071084,"SRS","Dependent Covariates (Unequal Covariance)",1.5
2,"X4",2.98643427138223,1.94769446087348,0.44440662130088,"SRS","Dependent Covariates (Unequal Covariance)",2
2,"X5",4.14126954490786,2.31165884577529,0.484387120574865,"SRS","Dependent Covariates (Unequal Covariance)",2.5
3,"X1",-0.015000519852985,0.581621213722217,0.0987719552910536,"SRS","Dependent Covariates (Unequal Covariance)",0.5
3,"X2",0.986380108969732,0.989625972866244,-0.00667116920932101,"SRS","Dependent Covariates (Unequal Covariance)",1
3,"X3",1.95541033245073,1.48730233245061,0.22695876065652,"SRS","Dependent Covariates (Unequal Covariance)",1.5
3,"X4",3.04871582007437,1.98228679765274,0.436005456929452,"SRS","Dependent Covariates (Unequal Covariance)",2
3,"X5",3.88403600725655,2.48655757838031,0.664482278292847,"SRS","Dependent Covariates (Unequal Covariance)",2.5
4,"X1",-0.0133533374461458,0.517577416746165,-0.0237350794879474,"SRS","Dependent Covariates (Unequal Covariance)",0.5
4,"X2",1.01631821110729,0.907382439941316,0.206534559732211,"SRS","Dependent Covariates (Unequal Covariance)",1
4,"X3",2.02840222930292,1.60475270169949,-0.269151096984051,"SRS","Dependent Covariates (Unequal Covariance)",1.5
4,"X4",3.1396237468815,1.89246631229371,0.0775562016183739,"SRS","Dependent Covariates (Unequal Covariance)",2
4,"X5",4.1556321263689,2.4429431405691,0.175368488370803,"SRS","Dependent Covariates (Unequal Covariance)",2.5
5,"X1",-0.00677490459202678,0.482793041460798,0.156591951426463,"SRS","Dependent Covariates (Unequal Covariance)",0.5
5,"X2",0.855318304201026,0.969242093682395,0.556185261873676,"SRS","Dependent Covariates (Unequal Covariance)",1
5,"X3",2.02406935813858,1.64133480671682,-0.0746499904147388,"SRS","Dependent Covariates (Unequal Covariance)",1.5
5,"X4",3.0709938608989,1.99650981898839,0.07899054982338,"SRS","Dependent Covariates (Unequal Covariance)",2
5,"X5",4.16438389716059,2.33342390815413,0.531787708368624,"SRS","Dependent Covariates (Unequal Covariance)",2.5
6,"X1",0.0326666163961423,0.480787446416994,0.1797252183257,"SRS","Dependent Covariates (Unequal Covariance)",0.5
6,"X2",0.89757735003224,0.992437475778832,0.250890472793689,"SRS","Dependent Covariates (Unequal Covariance)",1
6,"X3",1.93354541247059,1.56872930756645,0.355210775001145,"SRS","Dependent Covariates (Unequal Covariance)",1.5
